X,Y,NOMBRE,CALLE,ALTURA,REPRES_TEC,TELEFONO,MAIL,NOM_GEO,COMUNAS,BARRIOS,SUMI_ELECT,POBLAC,GRUP_ELECT,SUMINISTR,ID
-58.4011767689087,-34.6170742212068,NVOS EMPRENDIMIENTOS ARGENTINOS SRL,ALBERTI,"647",COLLADO RODRIGO,155-893-8506,sanglarcollado@gmail.com,647 ALBERTI,Comuna 3,Balvanera,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"13"
-58.3981898106673,-34.6335185727512,RES. GER. MI LUGAR,ALBERTI,"2012",COLLADO RODRIGO,155-893-8506,sanglarcollado@gmail.com,2012 ALBERTI,Comuna 4,Parque Patricios,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"14"
-58.5057618088066,-34.6310327235889,RES. GER. HOGAR AGOSTINA,A. MAGARI¥OS CERVANTES,"5251",CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,"5251 MAGARI¥OS CERVANTES, A.",Comuna 10,Villa Luro,Edesur,,,,"15"
-58.4755612191761,-34.6075596985319,LAS MARTAS S.R.L.,ALFREDO BUFANO,"254",MONTIVERO GLADYS EMILIA,,lalyarq@gmail.com,"254 BUFANO, ALFREDO R.",Comuna 11,Villa Gral. Mitre,Edesur,,,,"16"
-58.4558784078561,-34.6164757621492,STELLA MARIS,ALMIRANTE F. J. SEGUI,"768",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,"768 SEGUI, F. J., ALTE.",Comuna 6,Caballito,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"17"
-58.4594202301638,-34.6095954953328,HOGAR DEL ROSARIO,ALMIRANTE F. J. SEGUI,"1429",PFEFFERMAN RUBEN JULIO,,rup@telecentro.com.ar,"1429 SEGUI, F. J., ALTE.",Comuna 6,Caballito,Edesur,,,,"18"
-58.4907678781048,-34.5772251525384,RES. AMISTADES,ALTOLAGUIRRE,2372/74,MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,2372/74 ALTOLAGUIRRE,Comuna 12,Villa Urquiza,Edenor,S/D,NO,,"19"
-58.488119630178,-34.5803344943869,RES. GER. SAN EXPEDITO,ALTOLAGUIRRE,"2059",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,2059 ALTOLAGUIRRE,Comuna 12,Villa Urquiza,Edenor,S/D,NO,,"20"
-58.4839673752069,-34.57077082462,INST. GER. IRMA,ALVAREZ THOMAS,"3291",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,3291 ALVAREZ THOMAS AV.,Comuna 12,Villa Urquiza,Edenor,S/D,NO,,"21"
-58.4990297212105,-34.5649809727693,EL HOGAR S.A.,ANDONAEGUI,"3586",PERNOT MARIO,154-147-2650,"ingartec@arnet.com.ar; ingartec@gmail.com",3586 ANDONAEGUI,Comuna 12,Villa Urquiza,Edenor,,,,"22"
-58.4548410478586,-34.6104660928781,RES. PARA MAYORES APRILIS,APOLINARIO FIGUEROA,"1242",ADRIANA MU¥IZ,"1561554283",aimuniz@hot.mail.com,"1242 FIGUEROA, D. APOLINARIO, CORONEL",Comuna 6,Caballito,Edesur,,,,"23"
-58.426938129289,-34.5933062832354,ASOC. HELENICA DE SOCORROS MUTUOS SAN DEMETRIO,ARAOZ,1328/34,LITVAK NESTOR RUBEN,"1552281292",nestor_litvak@yahoo.com.ar,1328/34 ARAOZ,Comuna 14,Palermo,Edenor,,,,"24"
-58.4011921595493,-34.5935094768358,GERIALEPH,ARENALES,"2445",UCAR ALFREDO E.,153-617-3566,aucar32@yahoo.com.ar,2445 ARENALES,Comuna 2,Recoleta,Edesur,,,,"25"
-58.3974685382895,-34.5943624217236,PERCIBIR EL TIEMPO SRL,ARENALES,"2131",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,2131 ARENALES,Comuna 2,Recoleta,Edesur,S/D,NO,,"26"
-58.4075212740585,-34.5897317573056,EL VITRAL,ARENALES,"3051",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,3051 ARENALES,Comuna 2,Recoleta,Edesur - Edenor,S/D,NO,,"27"
-58.4936495820735,-34.5984660632414,ARGERICH,ARGERICH,"3258",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,3258 ARGERICH,Comuna 11,Vlla Del Parque,Edesur,S/D,NO,,"28"
-58.4715117065039,-34.6305607430498,"B,O VELAZQUEZ OMAR CITTADINI SOC. DE HECHO",ARGERICH,"46",CARO MARIO DIONISIO,57763475 // 15-4049-9605,"caro@camoar.gov.ar; mariocaro@aol.com.ar",46 ARGERICH,Comuna 7,Flores,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"29"
-58.4897684557284,-34.6035258750874,RES. GER. JULIA 2,ARGERICH,"2866",BENAVIDEZ SILVIA,"1550574121",hg_argentina@yahoo.com.ar,2866 ARGERICH,Comuna 11,Vlla Del Parque,Edesur,S/D,NO,,"30"
-58.3703896958008,-34.6356626371577,RES. GER. BARRACAS,ARISTOBULO DEL VALLE,"1244",Zabala Chtistian Ram¢n,15-6752-3481/3530-5894,trabajandoconseguridad@gmail.com,"1244 VALLE, ARISTOBULO DEL",Comuna 4,Barracas,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"31"
-58.4274088800439,-34.5895718990546,CUMELEN,ARMENIA,"1675",ADRIANA MU¥IZ,"1561554283",aimuniz@hot.mail.com,1675 ARMENIA,Comuna 14,Palermo,Edenor,,,,"32"
-58.4932304985625,-34.6097581279867,GER. ARREGUI DE EDUARDO MEZA,ARREGUI,"3516",ROMERO NESTOR DANIEL,"1559619164",nestoromero5@yahoo.com.ar,3516 ARREGUI,Comuna 11,Vlla Del Parque,Edesur,,,,"33"
-58.4817516283981,-34.5819395904912,"DIAZ, TRANSITO MARIA DEL VALLE",ATENAS,"2830",CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,2830 ATENAS,Comuna 15,Parque Chas,Edenor,,,,"34"
-58.4377499162602,-34.6150051258545,ACOYTE,AV ACOYTE,"272",PICK PATRICIA,"154-400-0847;4702-6493",patriciapick@fibertel.com.ar,272 ACOYTE AV.,Comuna 6,Caballito,Edesur,,,,"35"
-58.5074095917878,-34.5760683736808,EL REMANSO DE LOS ABUELOS SRL,AV ALBARELLOS,"2673",DEVOTO JORGE DAVID,,jorgedavid.devoto@gmail.com,2673 ALBARELLOS AV.,Comuna 12,Villa Pueyrredón,Edenor,,,,"36"
-58.4479780567726,-34.5817045861293,INST. NTRA SRA. DE LA NIEVES S.R.L,AV ALVAREZ THOMAS,"268",TILL PABLO ELIAS,154-421-6549,pablotill@yahoo.com,268 ALVAREZ THOMAS AV.,Comuna 15,Chacarita,Edenor,,,,"37"
-58.4845344566807,-34.6296647883926,RUBEN CARLOS GENONI,AV AVELLANEDA,"3967",GUELER RUBEN HORACIO,4833-5900,rgueler@ehslatam.com,3967 AVELLANEDA AV.,Comuna 10,Floresta,Edesur,"49",SI,CUBRE LA TOTALIDAD DEL ESTABLECIMIENTO,"38"
-58.4627967345677,-34.6236153339629,RES. OARA LA TERCERA EDAD LA CASONA DE MIS VIEJOS,AV AVELLANEDA,"2258",SOCIN ADRIAN ALDO,"1564487041",adrian_socin@yahoo.com.ar,2258 AVELLANEDA AV.,Comuna 7,Flores,Edesur,"17",SI,CUBRE LA TOTALIDAD DEL ESTABLECIMIENTO,"39"
-58.4312748149273,-34.611384368857,LA MANSIàN,AV AVELLANEDA,"74",GOMEZ DANIEL ALBERTO,"156-553-612; 154-071-6629",gomez_daniel28@yahoo.com.ar,74 AVELLANEDA AV.,Comuna 6,Caballito,Edesur,"31",NO,,"40"
-58.4542685972028,-34.6205189587678,AYGERES S.R.L.,AV AVELLANEDA,"1625",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,1625 AVELLANEDA AV.,Comuna 6,Caballito,Edesur,S/D,NO,,"41"
-58.4051142816045,-34.6147108339575,RES. GER. PAUL NIEHANS S.R.L.,AV BELGRANO,"2816",CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,2816 BELGRANO AV.,Comuna 3,Balvanera,Edesur,,,,"42"
-58.4164978332321,-34.6205344443712,COPAHUE,AV BOEDO,"664",DI BENEDETTO LUIS ERNESTO,4925-1774,arquidetto@yahoo.com.ar,664 BOEDO AV.,Comuna 5,Almagro,Edesur,S/D,NO,,"43"
-58.4586975426833,-34.6236949431464,GAVILAN ANEXO BOYACA,AV BOYACA,"279",ADRIANA MU¥IZ,"1561554283",aimuniz@hot.mail.com,279 BOYACA AV.,Comuna 7,Flores,Edesur,,,,"44"
-58.4651029756249,-34.6150062044464,ALBERTO ENRIQUE ALIO,AV BOYACA,"1214",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,1214 BOYACA AV.,Comuna 11,Villa Gral. Mitre,Edesur,S/D,NO,,"45"
-58.398544509421,-34.6308678162172,GER. VILLAVERDE S.R.L.,AV BRASIL,"2455",GUTIERREZ JORGE EDUARDO,"1534753882",jylasesores@yahoo.com.ar,2455 BRASIL AV.,Comuna 4,Parque Patricios,Edesur,"78",NO,,"46"
-58.4717743706223,-34.5441622447542,RES. CABILDO PAMI,AV CABILDO,"4351",GAETA ALBERTO,"4345-1275 ; 4331-0728,","info@seguridadindustrialsrl.com; lotamendi@seguridadindustrialsrl.com",4351 CABILDO AV.,Comuna 13,Nuñez,Edenor,,,,"47"
-58.439514700286,-34.5728381212448,HOGAR CONSTANZA S.A.,AV CABILDO,"288",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,288 CABILDO AV.,Comuna 14,Palermo,Edenor,S/D,SI,"ASCENSORES, LUCES, BOMBAS Y HELADERA","48"
-58.3881919225674,-34.6335621811336,ESTABLECIMIENTO GER. CASEROS,AV CASEROS,"1847",PADILLA JAVIER SANTIAGO,4961-9056,gestion@capacitarweb.com.ar,1847 CASEROS AV.,Comuna 1,Constitución,Edesur,,,,"49"
-58.4062366482539,-34.6371867960151,SAN PATRICIO,AV CASEROS,3031/35,MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,3031/35 CASEROS AV.,Comuna 4,Parque Patricios,Edesur,S/D,NO,,"50"
-58.4177058688993,-34.6392561616671,GER. CASEROS 3746,AV CASEROS,"3746",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,3746 CASEROS AV.,Comuna 4,Nueva Pompeya,Edesur,"20",NO,,"51"
-58.4230203797721,-34.5753001307433,LE PARC,AV CERVIÑO,"4658",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,4658 CERVI¥O AV.,Comuna 14,Palermo,Edenor,S/D,NO,,"52"
-58.4259486338631,-34.6405685381255,ESTABLECIMIENTO GER. LA NONA,AV COBO,683/85,LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,683/85 COBO AV.,Comuna 7,Parque Chacabuco,Edesur,S/D,NO,,"53"
-58.4942683847314,-34.5719769282126,RES.  GER. URQUIZA,AV CONGRESO,"5466",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,5466 CONGRESO AV.,Comuna 12,Villa Urquiza,Edenor,S/D,NO,,"54"
-58.4618255611128,-34.5550560564599,NUR SA,AV CONGRESO,"2337",CADEL ANDREA VIVIANA,4780-5554,acadel@hiseca.com.ar,2337 CONGRESO AV.,Comuna 13,Nuñez,Edenor,,,,"55"
-58.4852268036039,-34.5671905990314,GER. SAN AGUSTIN,AV CONGRESO,"4660",CUENCA GUILLERMO JUAN,4797-8032,guillermocuenca@gmail.com,4660 CONGRESO AV.,Comuna 12,Villa Urquiza,Edenor,,,,"56"
-58.4693637635612,-34.5589685145974,CADOR,AV CONGRESO,"3115",COLLADO RODRIGO,155-893-8506,sanglarcollado@gmail.com,3115 CONGRESO AV.,Comuna 12,Coghlan,Edenor,,,CAMBIO DE REPRESENTANTE TÉCNICO,"57"
-58.4262269222918,-34.5965700371071,CALIDAD A LOS A¥OS,AV CORDOBA,"4200",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,4200 CORDOBA AV.,Comuna 15,Villa Crespo,Edesur,"22",NO,,"58"
-58.4040867351922,-34.5796479541293,RES. PALERMO CHICO,AV CNEL DIAZ,3856 /50,SEBASTIAN RUBEN ARGENTINO JOSE,4794-1450/ 15-4-4227668,rubensebastian46@gmail.com,"3856 /50 DIAZ, CNEL. AV.",Comuna 14,Palermo,Edenor,,,,"59"
-58.4677874403397,-34.5572594903072,HOSTAL CRAMER S.R.L.,AV CRAMER,"2966",ROMERO FACUNDO NICOLAS,15-5-6953957,fnromero@ciudad.com.ar,2966 CRAMER AV.,Comuna 13,Nuñez,Edenor,,,,"60"
-58.4451653129381,-34.6375253269154,HOGAR PARA MAYORES SAN PANTALEON,AV CURAPALIGUE,"1316",CASALINUOVO JOSE NICOLAS,4766-4926,jncasalinuovo@hotmail.com,1316 CURAPALIGUE AV.,Comuna 7,Parque Chacabuco,Edesur,,,,"61"
-58.5045499638498,-34.5725456510684,AYELEN,AV DE LOS CONSTITUYENTES,"5933",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,5933 DE LOS CONSTITUYENTES AV.,Comuna 12,Villa Urquiza,Edenor,"28",NO,,"62"
-58.4587646991671,-34.5704824299608,APART INCAS S.A.,AV DE LOS INCAS,"3093",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,3093 DE LOS INCAS AV.,Comuna 13,Belgrano,Edenor,S/D,NO,,"63"
-58.42112964821,-34.6086111876256,ALVAREZ Y ARIAS S.R.L.,AV DIAZ VELEZ,"3876",MATEU MARCO,15-31381917,marcomateu@yahoo.com.ar,3876 DIAZ VELEZ AV.,Comuna 5,Almagro,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"64"
-58.4668124515574,-34.6352694157103,HOGAR ANDREA,AV DIRECTORIO,"2845",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,2845 DIRECTORIO AV.,Comuna 7,Flores,Edesur,"19",NO,,"65"
-58.4433790225424,-34.6294654055109,NTRA SE¥ORA DE LOS MILAGROS,AV DIRECTORIO,"1130",ROMERO NESTOR DANIEL,"1559619164",nestoromero5@yahoo.com.ar,1130 DIRECTORIO AV.,Comuna 7,Parque Chacabuco,Edesur,,,,"66"
-58.4601311291661,-34.633262908959,RES. PARA MAYORES CARPE DIEM,AV DIRECTORIO,"2363",RASTELLI NESTOR,154-4789-660,rastellin@yahoo.com.ar,2363 DIRECTORIO AV.,Comuna 7,Flores,Edesur,,,,"67"
-58.4500527538459,-34.6304610363351,MAITOR S.R.L.,AV DIRECTORIO,"1632",GERLING MARTIN SEBASTIAN,15-6993-3836,msg.safety@gmail.com,1632 DIRECTORIO AV.,Comuna 7,Parque Chacabuco,Edesur,"98",SI,HABITACIONES Y ILUMINACIÓN ÁREAS COMUNES,"68"
-58.4441534146295,-34.6094351051493,REACTIVAR SRL,AV DR. H. PUEYRREDON,"958",CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,"958 PUEYRREDON, HONORIO, DR. AV.",Comuna 6,Caballito,Edesur,,,,"69"
-58.4447118752684,-34.6087045856457,EL BUEN PASTOR,AV DR. H. PUEYRREDON,"1026",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,"1026 PUEYRREDON, HONORIO, DR. AV.",Comuna 6,Caballito,Edesur,S/D,NO,,"70"
-58.4410828998495,-34.6138789477547,AEROKA SRL,AV DR. H. PUEYRREDON,508/30,CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,"508/30 PUEYRREDON, HONORIO, DR. AV.",Comuna 6,Caballito,Edesur,,,,"71"
-58.447725003325,-34.604778475681,ALEJANDRO GUSTAVO BARCALA,AV DR. H. PUEYRREDON,"1388",GOMEZ DANIEL A.,"1540716629",gomez_daniel28@yahoo.com.ar,"1388 PUEYRREDON, HONORIO, DR. AV.",Comuna 15,Villa Crespo,Edesur,"19",NO,,"72"
-58.5099263225976,-34.6494580941244,GER. VERCIAN S.R.L.,AV EMILIO CASTRO,"6262",ROMAGNOLI,"4301-6695;155-248-7652",gustavojromagnoli@speedy.com.ar,"6262 CASTRO, EMILIO AV.",Comuna 9,Mataderos,Edesur,,,,"73"
-58.4470923587124,-34.6345565014052,ZACAVERA,AV EVA PERON,"1665",FIGUEROA Marcelo Hernan,156-159-9601,marherfigueroa@yagoo.com.ar,"1665 PERON, EVA AV.",Comuna 7,Parque Chacabuco,Edesur,,,,"74"
-58.4420183604218,-34.5670832179756,GER. SER VITAL,AV FEDERICO LACROZE,"2074",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,"2074 LACROZE, FEDERICO AV.",Comuna 14,Palermo,Edenor,S/D,NO,,"75"
-58.442574432324,-34.5676535142384,CENTRO GER. BELGRANO S.R.L.,AV FEDERICO LACROZE,"2154",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,"2154 LACROZE, FEDERICO AV.",Comuna 14,Palermo,Edenor,"40",NO,,"76"
-58.478491250506,-34.6904837731341,MEGA HOME,AV FERNANDEZ DE LA CRUZ,"6920",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,"6920 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,Villa Riachuelo,Edesur,"32",NO,,"77"
-58.4801629063352,-34.6234801660316,HOGAR GAONA,AV GAONA,"3947",CASTRO mario gabriel,156-496-6758,castromariog@gmail.com,3947 GAONA AV.,Comuna 11,Villa Santa Rita,Edesur,,,,"78"
-58.4789493626725,-34.5793113205813,RES. NUEVO HOGAR,AV GRAL. B. VICTORICA,"2330",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,"2330 VICTORICA, BENJAMIN, GENERAL, AV.",Comuna 15,Parque Chas,Edenor,"23",NO,,"79"
-58.498026104838,-34.5837675842313,RES. GER. BRISAS,AV GRAL. MOSCONI,"2536",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,2536 MOSCONI GENERAL AV.,Comuna 12,Villa Pueyrredón,Edenor,S/D,NO,,"80"
-58.5287697305831,-34.6438498080981,PATRICIA LEONOR FARIAS,AV GRAL. PAZ,"11000",CALBO PABLO DANIEL,4782-3356     155-503-7304,ingpablocalbo@yahoo.com.ar,"11000 PAZ, GRAL. AV.",Comuna 9,Liniers,Edenor,,,,"81"
-58.4269970892557,-34.614998535202,HOGAR NADIR,AV HIPOLITO YRIGOYEN,4272/74,LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,"4272/74 YRIGOYEN, HIPOLITO AV.",Comuna 5,Almagro,Edesur,S/D,NO,,"82"
-58.4017424451059,-34.6187658322576,RES. INDEPENDENCIA,AV INDEPENDENCIA,"2562",GAETA ALBERTO,"4345-1275 ; 4331-0728,","info@seguridadindustrialsrl.com; lotamendi@seguridadindustrialsrl.com",2562 INDEPENDENCIA AV.,Comuna 3,San Cristobal,Edesur,,,,"83"
-58.3832720205141,-34.6178010969299,EL GAUCHITO GIL SRL,AV INDEPENDENCIA,"1220",CASTRO mario gabriel,156-496-6758,castromariog@gmail.com,1220 INDEPENDENCIA AV.,Comuna 1,Constitución,Edesur,,,,"84"
-58.3733565506919,-34.6483179893533,RINCàN DEL SUR,AV IRIARTE,"1756",STEIZEL ARIEL,"1549729889",ariel@gruposh.com.ar,"1756 IRIARTE, GRAL. AV.",Comuna 4,Barracas,Edesur,,,,"85"
-58.423563621517,-34.6059383805389,PARA ADULTOS MAYORES NUEVOS TIEMPOS,AV J.D.PERON,4043/45,ROMAGNOLI,"4301-6695;155-248-7652",gustavojromagnoli@speedy.com.ar,"4043/45 PERON, JUAN DOMINGO, TTE. GENERAL",Comuna 5,Almagro,Edesur,,,,"86"
-58.5074161504333,-34.6009226925266,EST. GER. DE ENRIQUE C. TOPPANO,AV JOAQUIN V. GONZALEZ,"3691",CISNEROS NILDA JUSTA,"1540484958",dalnijc@yahoo.com.ar,"3691 GONZALEZ, JOAQUIN V.",Comuna 11,Villa Devoto,Edesur,,,,"87"
-58.4674096293921,-34.6111233138196,PABLO MANUEL ROSSETTI,AV JUAN B. JUSTO,"4870",GOMEZ DANIEL A.,"1540716629",gomez_daniel28@yahoo.com.ar,"4870 JUSTO, JUAN B. AV.",Comuna 11,Villa Gral. Mitre,Edesur,"21",NO,,"88"
-58.4849546587722,-34.6399029930887,LA FAMILIA,AV JUAN BAUTISTA ALBERDI,4205/09,ABUIN RAéL HECTOR,"1559626013",raul_abuin@yahoo.com.ar,"4205/09 ALBERDI, JUAN BAUTISTA AV.",Comuna 10,Velez Sarsfield,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"89"
-58.3896498102252,-34.6272612820495,GER. SAN FRANCISCO DE ASIS,AV JUAN DE GARAY,"1714",FEBRERO LUCIANO,15-6471-4621 -  39681325,lucianofebrero@gmail.com,"1714 GARAY, JUAN DE AV.",Comuna 1,Constitución,Edesur,,,,"90"
-58.4033739431722,-34.6194601625257,SAN S.,AV JUJUY,863/67,BOURET CARLOS,4631-8409,cabouret@gmail.com,863/67 JUJUY AV.,Comuna 3,San Cristobal,Edesur,,,,"91"
-58.4028247730133,-34.6212575811666,SHEMESH,AV JUJUY,"1007",COLLADO RODRIGO,155-893-8506,sanglarcollado@gmail.com,1007 JUJUY AV.,Comuna 3,San Cristobal,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"92"
-58.4848373875544,-34.6373722658225,LA CANELA,AV LACARRA,"206",ROMERO NESTOR DANIEL,"1559619164",nestoromero5@yahoo.com.ar,206 LACARRA AV.,Comuna 10,Velez Sarsfield,Edesur,,,,"93"
-58.4754621471143,-34.6447740593085,GER. NUEVO HORIZONTE,AV LACARRA,"1152",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,1152 LACARRA AV.,Comuna 9,Parque Avellaneda,Edesur,S/D,NO,,"94"
-58.4628363241317,-34.6419074904206,ESTABLECIMIENTO GER. LAFUENTE,AV LAFUENTE,961/63,CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,961/63 LAFUENTE AV.,Comuna 7,Flores,Edesur,"32",NO,,"95"
-58.5147810533098,-34.599121304668,RES. DE OTO¥O S.R.L.,AV LINCOLN,"4268",FLORIO EDUARDO MARIO,"1544199699",eflorio@arnet.com.ar,4268 LINCOLN AV.,Comuna 11,Villa Devoto,Edesur,,,,"96"
-58.5107329764505,-34.6249189670131,BUENOS AIRES HOME S.R.L.,AV LOPE DE VEGA,1619/21,CARNEVALE MABEL,5252-0909 / / 1552474239,arquitecta.mc@gmail.com,1619/21 LOPE DE VEGA AV.,Comuna 10,Monte Castro,Edesur,,,,"97"
-58.5035551365904,-34.6304074543304,RES. PARA MAYORES SWEET HOME,AV LOPE DE VEGA,930/2,LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,930/2 LOPE DE VEGA AV.,Comuna 10,Villa Luro,Edesur,S/D,SI,,"98"
-58.5132201509806,-34.6230118803789,"RES. GER. ""SAN CAYETANO""",AV LOPE DE VEGA,"1847",GREGORIO ANDRES,,info@consultora-crt.com.ar,1847 LOPE DE VEGA AV.,Comuna 10,Monte Castro,Edesur,,,,"99"
-58.508804175203,-34.626526205006,HOGAR GALICIA,AV LOPE DE VEGA,"1444",MIRABITO OMAR HORACIO,"154-408-7170; 4683-6473",omarmirabito@tutopia.com,1444 LOPE DE VEGA AV.,Comuna 10,Villa Luro,Edesur,,,,"100"
-58.4310817291155,-34.5750262147996,RES. CASA AZUL,AV LUIS MARIA CAMPOS,"180",MINOTTI CARLOS AGUSTÖN,4523-4889,carlosminotti@yahoo.com.ar,"180 CAMPOS, LUIS M. AV.",Comuna 14,Palermo,Edenor,S/D,NO,,"101"
-58.489160369629,-34.5759737269896,MONROE,AV MONROE,"5338",HOLM ALEJANDRO EDUAROO,15-5620-5960,ing_holm@yahoo.com,5338 MONROE AV.,Comuna 12,Villa Urquiza,Edenor,,,,"102"
