"","CODIGO","GLN","NOMBRE","CODIGO_TIPOLOGIA","TIPOLOGIA","CODIGO_CATEGORIA_TIPOLOGIA","CATEGORIA_TIPOLOGIA","CODIGO_DEPENDENCIA","DEPENDENCIA","ORIGEN_FINANCIAMIENTO","CODIGO_PROVINCIA","PROVINCIA","CODIGO_DEPARTAMENTO","DEPARTAMENTO","CODIGO_LOCALIDAD","LOCALIDAD","CP","DOMICILIO","TE1","TE2","TE3","TE4","LATITUD","LONGITUD","ESTADO_GEO"
"11",50020012316027,NA,"CENTRO MEDICO OBLIGADO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",14,"COMUNA 14",2014010001,"PALERMO","1426","Vuelta de Obligado 1157","(011) 4781-2372","","","",-34.5679451001,-58.4471583366394,"-seleccione-"
"12",50020012316011,NA,"CIMA SALUD - CENTRO INTEGRAL DE MEDICINA ASISTENCIAL","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","1408","Avenida Rivadavia 11055 / 57","(011) 4643-1093","(011) 4644-4903","","",-34.6391223014884,-58.5191702842712,"-seleccione-"
"13",50020012316013,NA,"CONSULTORIO MEDICO (AVENIDA RIVADAVIA 11099)","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","1408","Avenida Rivadavia 11099","011-46446429","","","",-34.6389810672371,-58.5211658477783,"-seleccione-"
"14",50020012316015,NA,"CENTRO MEDICO (GRUPO MEDICO ROSTAGNO)","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1114","Pte. José Evaristo Uriburu 1065","(011) 4821-1110","(011) 4821-1109","","",-34.5964762911991,-58.3986854553223,"-seleccione-"
"15",50020012316017,NA,"CENTRO  DE REHABILITACIONES MEDICAS CIMEB","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",1,"COMUNA 1",2001010004,"RETIRO","1007","Esmeralda 1066 3° piso","011-43134230","","","",-34.5954164840606,-58.3789443969727,"-seleccione-"
"16",50020012316019,NA,"CENTRO DR. BOTTINI DE FLEBOLOGIA Y ESTETICA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1115","Azcuénaga 1071 PB C","011-48230601","011-49614773","","",-34.5958050815814,-58.3998870849609,"-seleccione-"
"17",13020012315480,NA,"INSTITUTO SALUD MENTAL NUESTRA SEÑORA DE LUJAN - SEDE CASA DE MEDIO CAMINO NEW LIFE SECTOR MUJERES","ESCIESM","Establecimiento de salud con internación especializada en salud mental","ESCIESM","Bajo riesgo con internación simple",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010001,"BALVANERA","C1172ABS","Gallo 931/933","(011) 4862-1959","(011) 4867-5135","","",-34.5986311906816,-58.4121179580689,""
"18",52020012316029,NA,"CENTRO MEDICO NOMED","ESSIT","Establecimiento de salud sin internación de tratamiento","ESSIT","Centro de salud mental",23,"Privado","Privado",2,"CABA",1,"COMUNA 1",2001010002,"MONSERRAT","1085","Avenida de Mayo 1161 3º 6","011-43824838/1560/2308","011-43847014","011- 43815533","",-34.6092282433907,-58.3827638626099,"-seleccione-"
"19",50020012316031,NA,"CIMER - CENTRO DE FERTILIZACION ASISTIDA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",15,"COMUNA 15",2015010002,"CHACARITA","C1427CEV","Avenida Forest 1166 PB Y PISO 1","(011) 4551-4318","","","",-34.5787934066313,-58.4595608711243,"-seleccione-"
"20",50020012315682,NA,"CEMIC - CENTRO MEDICO DR NORBERTO QUIRNO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",1,"COMUNA 1",2001010004,"RETIRO","C1014ADB","Talcahuano 1234","(011) 5299-0850","","","",-34.5942683444022,-58.3858752250671,"-seleccione-"
"21",50020012315684,NA,"DIABAID - INSTITUTO DE ASISTENCIA INTEGRAL EN DIABETES Y PATOLOGIAS CRONICAS","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","C1061ABD","Paraguay 1570","(011) 4813-9410","(011) 4813-4173","","",-34.5983485840985,-58.3890295028687,"-seleccione-"
"22",51020012315931,NA,"CENTRO DE DIAGNOSTICO DR. ENRIQUE ROSSI (SEDE BARRIO NORTE)","ESSID","Establecimiento de salud sin internación de diagnóstico","ESSID","Diagnostico por Imágenes y Laboratorio Análisis clínicos",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","C1425BEE","Arenales 2777","(011) 4011-8080","(011) 4011-8000","","",-34.5922016530284,-58.4042644500732,"-seleccione-"
"23",50020012315542,NA,"CENTRO MEDICO DE CIRUGIA PLASTICA DR. RAUL LOPEZ BANDERA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010001,"BELGRANO","1428","Pedro Ignacio Rivera 2909","09/11/3356","07/11/5549","","",-34.5592689699895,-58.4652900695801,"-seleccione-"
"24",52020012317421,NA,"SLIM - CENTRO FLORES","ESSIT","Establecimiento de salud sin internación de tratamiento","ESSIT","Otros",23,"Privado","Privado",2,"CABA",7,"COMUNA 7",2007010001,"FLORES","C1406GLX","Av. Rivadavia 6778 1º Piso","(011) 4633-4620","","","",-34.628359,-58.4608794,"-seleccione-"
"25",50020012315953,NA,"ESTETICA BEIRO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010002,"VILLA DEVOTO","C1419HZN","Francisco Beiró 3850","(011) 4642-5416","(011) 3972-2237","","",-34.6028366163779,-58.5070488454221,"-seleccione-"
"26",50020012315967,NA,"CONSULTORIOS MEDICOS MIRALLA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",8,"COMUNA 8",2008010001,"VILLA LUGANO","C1439AKW","Avenida Castañares 5040","(011) 4601-4326","","","",-34.6680878919223,-58.4740447998047,"-seleccione-"
"27",50020012315989,NA,"CENTRO MEDICO DE MEDICINA ESTETICA DE LA DRA. MILITO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1023","Av. Callao 1121 1º Piso","(011) 4814-0050","","","",-34.6075328058323,-58.3920335769653,"-seleccione-"
"28",50020012316055,NA,"CENTRO DE HEMATOLOGIA Y ONCOLOGIA PAVLOVSKY","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1113","Junín 1284","(011) 4821-4222","(011) 4821.2802","","",-34.5937560923584,-58.397011756897,"-seleccione-"
"29",50020012316061,NA,"CENTRO MEDICO ORGANIZACION MEDICA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1425","General Lucio V. Mansilla 2610","(011) 4962-1115/1191","","","",-34.5960523699663,-58.4047794342041,"-seleccione-"
"30",50020012316101,NA,"POLICONSULTORIO DE VILLA DEL PARQUE - DIRECCION DE BIENESTAR DE LA ARMADA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010001,"VILLA DEL PARQUE","1417","Ricardo Gutiérrez 3003","(011) 4504-8454 / 55 / 56","","","",-34.6009273335235,-58.4920477867126,"-seleccione-"
"31",50020012316103,NA,"DENTAL ESTHETIC - CLINICA DE ESTETICA E IMPLANTOLOGIA ODONTOLOGICA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",4,"COMUNA 4",2004010004,"PARQUE PATRICIOS","1264","Avenida Caseros 3029","(011) 4943-7989","","","",-34.63718030945,-58.4062600135803,"-seleccione-"
"32",50020012316105,NA,"CENTRO DE ATENCION MEDICA DE LA ASOCIACION MUTUAL UTA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010001,"BALVANERA","1209","Moreno 3053","(011) 4011-5100 int. 196","","","",-34.6142083909959,-58.4082126617432,"-seleccione-"
"33",50020012316117,NA,"CENTRO MEDICO MAJESTIC MEDICAL CENTER","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010001,"VILLA DEL PARQUE","1417","Campana 3256","(011) 4503-6022 /5955 /7573","","","",-34.6009979830658,-58.4975624084473,"-seleccione-"
"34",52020012315568,NA,"CENTRO EDUCATIVO TERAPEUTICO ESTIMULACION TEMPRANA","ESSIT","Establecimiento de salud sin internación de tratamiento","ESSIT","Centro de salud mental",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010003,"VILLA GENERAL MITRE","1416","Terrero 1350","(011) 4588-0718","","","",-34.6125130551386,-58.4633159637451,"-seleccione-"
"35",50020012316001,NA,"CENTRO MEDICO BELGRANO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010003,"NUÑEZ","C1429BNQ","Avenida del Libertador 8334","(011) 5550-2300","(011) 4701-5605","","",-34.538820823832,-58.4652042388916,"-seleccione-"
"36",50020012316119,NA,"CENTRO MEDICO SHAPE ON","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",14,"COMUNA 14",2014010001,"PALERMO","1425","Avenida Santa Fe 3258 piso 1°","(011) 4822-5115","","","",-34.5882094369432,-58.4112811088562,"-seleccione-"
"37",51020012316121,NA,"LABORATORIO DE DIAGNOSTICO POR IMAGENES FUNDUS","ESSID","Establecimiento de salud sin internación de diagnóstico","ESSID","Diagnostico por Imágenes",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1425","Beruti 3267","(011) 4825-8355/2868/3118","(011) 4824-3199","","",-34.5878208038931,-58.4086203575134,"-seleccione-"
"38",50020012316127,NA,"CENTRO MEDICO DEL TEJAR","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",12,"COMUNA 12",2012010001,"COGHLAN","1430","Av. Dr. Ricardo Balbin 3319","(011) 4545-0614","","","",-34.5573604533373,-58.4776496887207,"-seleccione-"
"39",50020012316151,NA,"CENTRO OFTALMOLOGICO DR. EDUARDO SCARPELLO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",12,"COMUNA 12",2012010002,"SAAVEDRA","1430","Avenida Dr. Ricardo Balbín 3675","(011) 4544-7273","","","",-34.5559290371129,-58.4814691543579,"-seleccione-"
"40",50020012316155,NA,"CENTRO MEDICO SOLIMED - VILLA LUGANO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",8,"COMUNA 8",2008010001,"VILLA LUGANO","1439","Avenida Riestra 5516","(011) 4602-7997","(011) 4601-3169","(011) 4911-8033","(011) 1911-3027",-34.6758173982847,-58.4736371040344,"-seleccione-"
"41",50020012316159,NA,"INSTITUTO ATENEA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",14,"COMUNA 14",2014010001,"PALERMO","C1172ACM","Gorriti 4065","(011) 4862-9031","","","",-34.5952840072176,-58.422042131424,"-seleccione-"
"42",50020012315848,NA,"CENTRO MEDICO A.P.E.B.I.","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",6,"COMUNA 6",2006010001,"CABALLITO","1405","Fragata Presidente Sarmiento 829","(011) 4432-9315","","","",-34.6142790292385,-58.4527158737183,"-seleccione-"
"43",50020012315558,NA,"PROYECTO ATUEL - PROGRAMA DE REINSERCION SOCIAL","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",12,"COMUNA 12",2012010002,"SAAVEDRA","1429","Correa 2520","(011) 4702-8739","","","",-34.5443354254513,-58.473744392395,"-seleccione-"
"44",51020012315616,NA,"CENTRO DE DIAGNOSTICO ECOGRAFICO DR. CARLOS CANETTI","ESSID","Establecimiento de salud sin internación de diagnóstico","ESSID","Diagnostico por Imágenes y Laboratorio Análisis clínicos",23,"Privado","Privado",2,"CABA",6,"COMUNA 6",2006010001,"CABALLITO","1424","Av. Rivadavia 5170 4º A","(011) 4901-8161/6543","(011) 4901-4208/6514","","",-34.6192235568504,-58.438081741333,"-seleccione-"
"45",50020012315832,NA,"DEPORTEST CENTRO DEPORTOLOGICO Y MEDICO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010001,"BALVANERA","1027","José Evaristo Uriburu 774 3º Piso","(011) 4954-6187","(011) 4954-8321","","",-34.6003091474645,-58.3986854553223,"-seleccione-"
"46",50020012316003,NA,"CENTRO MEDICO VERSAILLES","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","1408","Avenida Juan B. Justo 9350/54","011-46445799","011-46446499","","",-34.6340906829471,-58.5222387313843,"-seleccione-"
"47",10020012315455,NA,"INSTITUTO DEL CORAZON DENTON A. COOLEY (SANATORIO)","ESCIG","Establecimiento de salud con internación general","ESCIG","Alto riesgo con terapia intensiva",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010004,"VILLA SANTA RITA","1416","Av. Nazca 1169","(011) 4582-9770","(011) 4582-4581 / 1143","(011) 4588-5800 / 5900","",-34.6200711605799,-58.4746026992798,"-seleccione-"
"48",50020012315618,NA,"CENTRO DE TRAUMATOLOGIA - VALLS","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con guardia permanente",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1119","Av. Pueyrredón 2332","(011) 4803-6250","(011) 4803-6615","","",-34.5869375402011,-58.3957028388977,"-seleccione-"
"49",50020012315620,NA,"CENTRO DE INVESTIGACIONES MAMARIAS","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1187","Avenida Córdoba 2687","06/11/2012","","","",-34.5986135277983,-58.4031915664673,"-seleccione-"
"50",51020012315596,NA,"IDIM - INSTITUTO DE INVESTIGACIONES METABOLICAS (SEDE BELGRANO)","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010001,"BELGRANO","1428","Amenábar 1945 1º Piso","(011) 4788-6161","","","",-34.5645348351284,-58.4573078155518,"-seleccione-"
"51",10020012215217,NA,"HOSPITAL GENERAL DE AGUDOS DR. COSME ARGERICH","ESCIG","Establecimiento de salud con internación general","ESCIG","Alto riesgo con terapia intensiva",22,"Municipal","Público",2,"CABA",4,"COMUNA 4",2004010002,"BOCA","C1155AHD","CORBETA PI Y MARGAL 750","(011) 4121-0700/0800","(011) 4121-0683","(011) 4121-0816/0817","",-34.6278581147189,-58.3661127090454,"CONFIRMADO"
"52",50020012316007,NA,"CENTRO DE OJOS LINIERS","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","1408","Avenida Rivadavia 11022","(011) 4644-7200","(011) 4600-2485","","",-34.6392017456491,-58.5177326202393,"-seleccione-"
"53",51020012316005,NA,"DMI - DIAGNOSTICO MEDICO INTEGRAL","ESSID","Establecimiento de salud sin internación de diagnóstico","ESSID","Diagnostico por Imágenes",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","1408","Avenida Rivadavia 10719","(011) 4641-8183","(011) 4641-5690","","",-34.6393164981912,-58.5151147842407,"-seleccione-"
"54",50020012316163,NA,"CENTRO MEDICO-CONSULTORIOS PARA LA COMUNIDAD","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",9,"COMUNA 9",2009010001,"LINIERS","C1408FEH","Acassuso 6680","12/29/1899","","","",-34.6501554839383,-58.5154151916504,"-seleccione-"
"55",50020012316171,NA,"CENTRO MEDICO COBERMED - LACROZE","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010002,"COLEGIALES","1426","Av. Federico Lacroze 3225","(011) 4556-4900","","","",-34.578457731074,-58.4495401382446,"-seleccione-"
"56",50020012116195,NA,"CENTRO MEDICO OBRA SOCIAL DE CHOFERES DE CAMIONES","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",27,"Obra social","Privado",2,"CABA",5,"COMUNA 5",2005010001,"ALMAGRO","1200","Av. Díaz Velez 4160","(011) 4958-9600","","","",-34.6085924583634,-58.4240484237671,"-seleccione-"
"57",50020012315887,NA,"CENTRO OFTALMOLOGICO FUNDACION ZAMBRANO CIRUGIA OCULAR","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","C1023AAQ","Avenida Callao 1046 1º piso A","(011) 4814-1515","","","",-34.5966175977959,-58.3933210372925,"-seleccione-"
"58",50020012315751,NA,"MEDICINA DEL DEPORTE S.A. - CENTRO DE CIRUGIA AMBULATORIA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",6,"COMUNA 6",2006010001,"CABALLITO","C1424BSC","Av. Pedro Goyena 217","(011) 4923-1242 / 9830","(011) 4925-4910","","",-34.6255803738154,-58.4306573867798,"-seleccione-"
"59",10020012315201,7798174510014,"CLINICA Y MATERNIDAD SUIZO ARGENTINA","ESCIG","Establecimiento de salud con internación general","ESCIG","Alto riesgo con terapia intensiva",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1118","Av. Pueyrredón 1461","(011) 5239-6000","(011) 4821-1414","(011) 4821-1313","",-34.5938267480005,-58.4021401405335,"-seleccione-"
"60",14020012315314,NA,"INSTITUTO ALPI","ESCIE","Establecimiento de salud con internación especializada en otras especialidades","ESCIE","Alto riesgo con terapia intensiva",23,"Privado","Privado",2,"CABA",14,"COMUNA 14",2014010001,"PALERMO","1425","SOLER 3945","(011) 4821-1200","","","",-34.5918130386514,-58.4172677993774,"-seleccione-"
"61",13020012315278,NA,"CLINICA PLAN DE SALUD MENTAL S.A. (M)","ESCIESM","Establecimiento de salud con internación especializada en salud mental","ESCIESM","Bajo riesgo con internación simple",23,"Privado","Privado",2,"CABA",4,"COMUNA 4",2004010001,"BARRACAS","1270","AVENIDA MONTES DE OCA 499","(011) 4307-6249","","","",-34.6342937190788,-58.375403881073,""
"62",10020012315195,NA,"CLIMEDICA","ESCIG","Establecimiento de salud con internación general","ESCIG","Mediano riesgo con internación con cuidados especiales",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010002,"SAN CRISTOBAL","1229","Saavedra 1039","(011) 4943-0183","(011) 4943-1497","","",-34.621642736256,-58.4016036987305,"-seleccione-"
"63",14020012215307,NA,"HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER","ESCIE","Establecimiento de salud con internación especializada en otras especialidades","ESCIE","Alto riesgo con terapia intensiva especializada",22,"Municipal","Público",2,"CABA",4,"COMUNA 4",2004010001,"BARRACAS","C1272AAA","DOCTOR ENRIQUE FINOCHIETTO 849","011-4307-1445/4677/6777/6738/7474","011-4307-7474/6777","","",-34.6304182914785,-58.3758115768433,"-seleccione-"
"64",50020012315512,NA,"CENTRO MEDICUS ODONTOLOGICO VIAMONTE","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",1,"COMUNA 1",2001010005,"SAN NICOLAS","1053","Viamonte 917","(011) 4322-8830","(011) 5272-5002","","",-34.6001148594671,-58.3804035186768,"-seleccione-"
